title,company,link,source,date
Internship Program KPA-2025/2026 at Kenya Ports Authority,Kenya Ports Authority,https://www.myjobmag.co.ke/job/internship-program-kpa-2025-2026-kenya-ports-authority,myjobmag,10 March  Nairobi
Sales and Collections Internship- Kerugoya at Tenakata,Tenakata,https://www.myjobmag.co.ke/job/sales-and-collections-internship-kerugoya-tenakata-2,myjobmag,17 March  Kerugoya
Sales and Collections Internship- Waiyaki Way at Tenakata,Tenakata,https://www.myjobmag.co.ke/job/sales-and-collections-internship-waiyaki-way-tenakata-2,myjobmag,17 March  Nairobi
Sales and Collections Internship- Kenol at Tenakata,Tenakata,https://www.myjobmag.co.ke/job/sales-and-collections-internship-kenol-tenakata,myjobmag,17 March  Muranga
Sales and Collections Internship- Machakos at Tenakata,Tenakata,https://www.myjobmag.co.ke/job/sales-and-collections-internship-machakos-tenakata,myjobmag,17 March  Nairobi
Sales and Collections Internship- Malindi at Tenakata,Tenakata,https://www.myjobmag.co.ke/job/sales-and-collections-internship-malindi-tenakata,myjobmag,17 March  Kilifi
"PhD Studentship - KEMRI, Kenya and University of Bergen (UiB), Norway at Kenya Medical Research - KEMRI",Kenya Medical Research - KEMRI,https://www.myjobmag.co.ke/job/phd-studentship-kemri-kenya-and-university-of-bergen-uib-norway-kemya-medical-research-kemri,myjobmag,11 March  Nairobi
"PhD Fellowship - KEMRI, Kenya and Oslo, Norway at Kenya Medical Research - KEMRI",Kenya Medical Research - KEMRI,https://www.myjobmag.co.ke/job/phd-fellowship-kemri-kenya-and-oslo-norway-kemya-medical-research-kemri,myjobmag,11 March  Nairobi
Station Manager – Petroleum Retail,Nomad Petrochem Limited,https://www.brightermonday.co.ke/listings/station-manager-petroleum-retail-xp46xn,brightermonday,Nairobi · Full Time
Gardener / Landscaper,BrighterMonday Consulting,https://www.brightermonday.co.ke/listings/gardener-landscaper-vwnpxw,brightermonday,Nairobi · Full Time
HAIR STYLIST,BrighterMonday Consulting,https://www.brightermonday.co.ke/listings/hair-stylist-4ne4xz,brightermonday,Nairobi · Full Time
Piercing and Tattoo Artist,BrighterMonday Consulting,https://www.brightermonday.co.ke/listings/piercing-and-tattoo-artist-xp4jq0,brightermonday,Nairobi · Full Time
General Manager/Operations Manager,MSVL Group,https://jobwebkenya.com/jobs/general-manager-operations-manager-msvl-group/,jobwebkenya,
Database Administrator,Smart Applications International Ltd,https://jobwebkenya.com/jobs/database-administrator-smart-applications-international-ltd/,jobwebkenya,
Midwife,Accurex Leadership and Management Consultants Ltd,https://jobwebkenya.com/jobs/midwife-accurex-leadership-management-consultants-ltd/,jobwebkenya,
Graduate Trainee,Louis Dreyfus Company,https://jobwebkenya.com/jobs/graduate-trainee-louis-dreyfus-company-2/,jobwebkenya,
Driver,Peoplelink Consultants Ltd,https://jobwebkenya.com/jobs/driver-peoplelink-consultants-ltd/,jobwebkenya,
Production & Inventory Technician (Medical Devices),Peoplelink Consultants Ltd,https://jobwebkenya.com/jobs/production-inventory-technician-medical-devices-peoplelink-consultants-ltd/,jobwebkenya,
Research Coordinator,Busara Center,https://jobwebkenya.com/jobs/research-coordinator-busara-center/,jobwebkenya,
Senior Accountant,Mini Group,https://jobwebkenya.com/jobs/senior-accountant-mini-group/,jobwebkenya,
Office Administrator,Mini Group,https://jobwebkenya.com/jobs/office-administrator-mini-group/,jobwebkenya,
CCTV Technician,Mini Group,https://jobwebkenya.com/jobs/cctv-technician-mini-group/,jobwebkenya,
UAT Coordinator – Core Banking (T24/Temenos),Tezza Business Solutions Ltd,https://jobwebkenya.com/jobs/uat-coordinator-core-banking-t24-temenos-tezza-business-solutions-ltd/,jobwebkenya,
Integration / API Tester – Core Banking (T24/Temenos),Tezza Business Solutions Ltd,https://jobwebkenya.com/jobs/integration-api-tester-core-banking-t24-temenos-tezza-business-solutions-ltd/,jobwebkenya,
Pool Attendant,PrideInn,https://jobwebkenya.com/jobs/pool-attendant-prideinn/,jobwebkenya,
Procurement Officer,Oxygene Marketing Communications Ltd,https://jobwebkenya.com/jobs/procurement-officer-oxygene-marketing-communications-ltd/,jobwebkenya,
Senior Associate – Dispute Resolution,Clyde & Co,https://jobwebkenya.com/jobs/senior-associate-dispute-resolution-clyde-co/,jobwebkenya,
Senior Associate – Tax,Clyde & Co,https://jobwebkenya.com/jobs/senior-associate-tax-clyde-co/,jobwebkenya,
Technical Support Engineer,Tatu City Limited,https://jobwebkenya.com/jobs/technical-support-engineer-tatu-city-limited/,jobwebkenya,
Climate Finance and Policy Consultancy,GiveDirectly,https://jobwebkenya.com/jobs/climate-finance-policy-consultancy-givedirectly/,jobwebkenya,
Bids Supervisor,Agile Business Solutions Limited,https://jobwebkenya.com/jobs/bids-supervisor-agile-business-solutions-limited/,jobwebkenya,
Submit CVs – Latest Recruitment,Greenspoon,https://jobwebkenya.com/jobs/submit-cvs-latest-recruitment-greenspoon/,jobwebkenya,
